Provincia,Comunidad autónoma,Capital,Ciudad más poblada*,Código postal,Código Ministerio del Interior,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),Extranjeros totales,% de extranjeros,Porcentaje población,Porcentaje superficie,PIB_2016,PIB_2017,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,TCAC 2016-23,Órgano de gobierno y administración,Sede (ciudad)
Albacete,Castilla-La Mancha,Albacete,Albacete,2,AB,14924.0,390751,26.18,179014529.0,32439,7.4,0.8,2.95,7570409,7992903,8285269,8627212,8010434,8853382,9526877,10285196,35.86,Diputación de Albacete,Palacio Provincial de Albacete (Albacete)
Alicante,Comunidad Valenciana,Alicante,Alicante,3,A,5816.0,2033566,349.59,313871224.0,456257,21.8,4.14,1.15,33899084,35422930,36463569,37807882,34503374,38470028,41939432,46472807,37.09,Diputación de Alicante,Palacio Provincial de Alicante (Alicante)
Almería,Andalucía,Almería,Almería,4,AL,8774.0,770554,87.81,225750000.0,168886,17.3,1.57,1.73,14185706,15159388,15282092,16003582,14764342,14861150,16494994,18250223,28.65,Diputación de Almería,Edificio de la Diputación Provincial de Almería (Almería)
Araba/Álava,País Vasco,Vitoria,Vitoria,1,VI,3037.0,341961,112.6,434606945.0,36831,9.1,0.7,0.6,11960737,12336129,12721159,12797528,11764228,11958641,12838267,14090604,17.81,Diputación Foral de Álava,Palacio de la Diputación Foral de Álava (Vitoria)
Asturias,Asturias,Oviedo,Gijón,33,O,10603.0,1015128,95.73,291900000.0,58387,12.5,2.07,2.1,21675441,22538267,23185680,23666618,21376392,23617641,26690102,28350371,30.79,No tiene[1]​,No tiene[1]​
Badajoz,Extremadura,Badajoz,Badajoz,6,BA,21766.0,665155,30.56,122565847.0,25469,6.6,1.35,4.3,11776505,12419839,12609609,12838980,11979224,12729424,13644123,14927003,26.75,Diputación de Badajoz,
Barcelona,Cataluña,Barcelona,Barcelona,8,B,7733.0,5959941,771.21,3595900000.0,1015499,22.3,12.13,1.53,158516150,166618005,173436258,180560179,161885097,173917445,191251096,209563285,32.2,Diputación de Barcelona,Casa Serra (Barcelona)
Bizkaia,País Vasco,Bilbao,Bilbao,48,BI,2217.0,1167233,526.49,663500000.0,105893,14.6,2.38,0.44,33686330,34314272,35599877,36737656,33016596,35910195,41009633,44229902,31.3,Diputación Foral de Vizcaya,Palacio de la Diputación Foral de Vizcaya (Bilbao)
Burgos,Castilla y León,Burgos,Burgos,9,BU,14292.0,362663,25.38,220000000.0,35158,8.2,0.74,2.82,9572090,10054308,10494196,10628487,9620320,10224118,10709841,11303996,18.09,Diputación de Burgos,
Cantabria,Cantabria,Santander,Santander,39,S,5325.0,593623,111.56,223600000.0,44242,9.8,1.21,1.05,12833899,13318023,13843935,14274351,12991241,14206538,15557155,16740663,29.93,No tiene[4]​,No tiene[4]​
Castellón,Comunidad Valenciana,Castellón de la Plana,Castellón de la Plana,12,CS,6632.0,627620,94.21,214539390.0,107330,14.7,1.28,1.32,14223009,15506038,15685255,16135189,14341241,15775645,17355828,17661943,24.18,Diputación de Castellón,
Ceuta,Ceuta,-,-,51,CE,19.0,83567,4178.35,,5085,3.4,0.17,0.004,1537398,1553567,1611648,1659979,1535718,1634006,1766735,1862863,21.17,,
Ciudad Real,Castilla-La Mancha,Ciudad Real,Ciudad Real,13,CR,19813.0,494848,24.98,77173538.0,36574,8.5,1.01,3.92,10345475,10690171,10906668,11016000,10182564,10481171,12249078,12447343,20.32,Diputación de Ciudad Real,Palacio de la Diputación Provincial de Ciudad Real (Ciudad Real)
Cuenca,Castilla-La Mancha,Cuenca,Cuenca,16,CU,17140.0,199859,11.66,100110251.0,27228,6.9,0.41,3.39,4290139,4421111,4599762,4587758,4253677,4975017,5645595,5859753,36.59,Diputación de Cuenca,
Cáceres,Extremadura,Cáceres,Cáceres,10,CC,19868.0,388190,19.54,170809446.0,16608,4.9,0.79,3.93,7292966,7749707,8103645,8327152,7518119,8822093,9842522,10265612,40.76,Diputación de Cáceres,
Cádiz,Andalucía,Cádiz,Jerez de la Frontera,11,CA,7436.0,1261420,169.55,190171566.0,62166,12.7,2.57,1.47,20879560,21860392,22462629,23352580,20477353,22876782,25860425,26783989,28.28,Diputación de Cádiz,Palacio de la Aduana (Cádiz)
Córdoba,Andalucía,Córdoba,Córdoba,14,CO,13771.0,773163,56.14,552000000.0,26537,6.9,1.57,2.72,13567313,14113022,14292383,14237228,13134510,14512133,15518254,17217243,26.9,Diputación de Córdoba,Palacio de la Merced (Córdoba)
Gipuzkoa,País Vasco,San Sebastián,San Sebastián,20,SS,1909.0,733149,370.28,461900000.0,70347,12.7,1.49,0.39,21467926,22934894,23594075,24464797,21891774,24644193,26370267,28427601,32.42,Diputación Foral de Guipúzcoa,
Girona,Cataluña,Gerona,Gerona,17,GE / GI,5910.0,830429,140.51,132255950.0,178578,17.5,1.69,1.17,20769493,20612222,21178933,22059649,19755932,23348038,26290879,29157484,40.39,Diputación de Gerona,
Granada,Andalucía,Granada,Granada,18,GR,12531.0,945797,74.78,307100186.0,79669,13.6,1.93,2.5,15888251,16314359,16798633,17538085,15967883,17357256,19181269,20836996,31.15,Diputación de Granada,
Guadalajara,Castilla-La Mancha,Guadalajara,Guadalajara,19,GU,12214.0,285839,23.4,91000000.0,43993,9.6,0.58,2.41,4750576,5106037,5379941,5647861,5225237,5804558,6782836,6878584,44.79,Diputación de Guadalajara,Palacio de la Diputación de Guadalajara (Guadalajara)
Huelva,Andalucía,Huelva,Huelva,21,H,10148.0,538789,53.2,175000000.0,56526,12.4,1.1,2.0,9288980,10037865,10616525,10650577,9353422,10640222,12859210,13183665,41.93,Diputación de Huelva,
Huesca,Aragón,Huesca,Huesca,22,HU,15636.0,230087,14.72,58018000.0,33393,7.5,0.47,3.09,6224092,6275164,6339722,6567333,6331038,6780105,7631866,8167881,31.23,Diputación de Huesca,
Islas Baleares,Islas Baleares,Palma,Palma,7,PM / IB,4992.0,1249844,250.37,487000000.0,254624,18.2,2.54,0.99,30223284,31746251,33185968,34350576,26669106,30512146,37189162,41502526,37.32,No tiene[3]​,No tiene[3]​
Jaén,Andalucía,Jaén,Jaén,23,J,13496.0,618143,45.8,317240000.0,21416,6.1,1.26,2.67,10903626,11122181,11635259,11267290,10781405,11853935,11738138,13052058,19.7,Diputación de Jaén,Palacio Provincial (Jaén)
La Coruña,Galicia,La Coruña,La Coruña,15,C,7950.0,1135623,142.83,375000000.0,60256,12.5,2.31,1.57,25451524,26097818,27211854,27819424,25501350,27529654,31218140,33477736,31.54,Diputación de La Coruña,
La Rioja,La Rioja,Logroño,Logroño,26,LO,5045.0,326803,64.78,191500000.0,46625,10.6,0.67,1.0,8074094,8351707,8649852,8889997,8186915,8735750,9767469,10476650,29.76,No tiene[5]​,No tiene[5]​
Las Palmas,Canarias,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,35,GC,4066.0,1171547,288.13,485000000.0,157102,15.5,2.38,0.8,21133454,22089679,22974312,23478690,19159502,21364107,25483866,28124631,33.08,No tiene[6]​,No tiene[6]​
León,Castilla y León,León,León,24,LE,15581.0,448030,28.75,142305758.0,24291,6.3,0.91,3.08,9231953,9506147,9777598,10041788,9276493,10454424,11757261,12193704,32.08,Diputación de León,Palacio de los Guzmanes (León)
Lleida,Cataluña,Lérida,Lérida,25,L,12172.0,458226,37.65,228000000.0,91408,14.4,0.93,2.41,12160547,11803319,12191707,12766171,11635303,12954308,13789781,15081546,24.02,Diputación de Lérida,Palacio de la Diputación de Lérida (Lérida)
Lugo,Galicia,Lugo,Lugo,27,LU,9856.0,326022,33.08,118000000.0,21142,5.8,0.66,1.95,7472883,7458900,7768980,7822876,6945138,7637441,8568467,9406547,25.88,Diputación de Lugo,
Madrid,Comunidad de Madrid,Madrid,Madrid,28,M,8028.0,7113886,886.13,5703000000.0,1072173,23.0,14.48,1.59,214469101,224373156,233735808,243889359,221061932,239837609,267171570,295939562,37.99,No tiene[7]​,No tiene[7]​
Melilla,Melilla,-,-,52,ML,13.0,87067,7255.58,,11260,4.8,0.18,0.003,1452752,1466610,1510904,1560101,1452031,1534391,1655971,1753666,20.71,,
Murcia,Región de Murcia,Murcia,Murcia,30,MU,11313.0,1586989,140.27,451252695.0,242578,18.2,3.23,2.24,30009138,31192490,31715345,33000651,30440306,33603543,37380806,39838741,32.76,No tiene[8]​,No tiene[8]​
Málaga,Andalucía,Málaga,Málaga,29,MA,7308.0,1791183,245.17,976600000.0,320766,20.0,3.65,1.44,28513572,29891621,31204388,32530116,28516619,32619883,37226438,41235144,44.62,Diputación de Málaga,
Navarra,Navarra,Pamplona,Pamplona,31,,10391.0,683854,65.81,259000000.0,84896,13.6,1.39,2.05,18911331,19698794,20235995,21070268,19160726,20821017,23204474,24975376,32.07,No tiene[9]​,No tiene[9]​
Ourense,Galicia,Orense,Orense,32,OR / OU,7273.0,305278,41.97,103126070.0,20924,5.4,0.62,1.44,6317422,6517804,6785155,7138919,6420384,7262638,8128954,8914517,41.11,Diputación de Orense,
Palencia,Castilla y León,Palencia,Palencia,34,P,8052.0,158702,19.71,92868777.0,9356,3.8,0.32,1.59,4171878,4070286,4375118,4417915,4042436,4326851,4713440,5047540,20.99,Diputación de Palencia,Palacio de la Diputación de Palencia (Palencia)
Pontevedra,Galicia,Pontevedra,Vigo,36,PO,4495.0,947818,210.86,120591629.0,47105,10.9,1.93,0.89,19322194,20556330,20883374,21720786,20140306,21957653,23720820,25662611,32.81,Diputación de Pontevedra,Palacio de la Diputación de Pontevedra (Pontevedra)
Salamanca,Castilla y León,Salamanca,Salamanca,37,SA,12350.0,328446,26.59,181471677.0,20516,5.4,0.67,2.44,6511439,6692406,6894146,7149679,6583497,7386843,8647606,9604292,47.5,Diputación de Salamanca,Palacio de La Salina (Salamanca)
Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,38,TF,3381.0,1087319,321.6,313500000.0,161983,15.8,2.21,0.67,19846216,20946160,21634954,22288142,18427897,20043168,23424330,25865458,30.33,No tiene[10]​,No tiene[10]​
Segovia,Castilla y León,Segovia,Segovia,40,SG,6921.0,158251,22.87,,21309,5.9,0.32,1.37,3377877,3260124,3377956,3482508,3163709,3646707,4049897,4408019,30.5,Diputación de Segovia,
Sevilla,Andalucía,Sevilla,Sevilla,41,SE,14036.0,1977664,140.9,1158000000.0,94994,14.4,4.03,2.77,36674889,38290656,39602392,40899272,37457375,41574995,45485662,48846749,33.19,Diputación de Sevilla,
Soria,Castilla y León,Soria,Soria,42,SO,10306.0,90183,8.75,79900000.0,10936,4.3,0.18,2.04,2163618,2209607,2492230,2530167,2291715,2555836,2709532,2825443,30.59,Diputación de Soria,
Tarragona,Cataluña,Tarragona,Tarragona,43,T,6303.0,875530,138.91,187000000.0,155717,15.4,1.78,1.25,23056357,24106231,24294389,24779819,21581103,24600611,27455651,29471710,27.82,Diputación de Tarragona,
Teruel,Aragón,Teruel,Teruel,44,TE,14810.0,136091,9.19,59549000.0,17169,5.0,0.28,2.93,3256277,3222753,3381320,3422528,3120527,3529024,4072915,4324273,32.8,Diputación de Teruel,
Toledo,Castilla-La Mancha,Toledo,Toledo,45,TO,15370.0,755081,49.13,114000000.0,90060,13.7,1.54,3.04,12179643,12558737,13119285,13514472,12582448,14009858,15827632,17074065,40.19,Diputación de Toledo,Edificio de la Diputación de Toledo (Toledo)
Valencia,Comunidad Valenciana,Valencia,Valencia,46,V,10763.0,2763996,256.5,1042800000.0,388076,20.8,5.63,2.14,56083303,57737744,60600750,62645457,57222556,62141233,68288134,75521155,34.66,Diputación de Valencia,Palacio de la Baylía (Valencia)
Valladolid,Castilla y León,Valladolid,Valladolid,47,VA,8110.0,528644,65.18,404000000.0,36139,8.4,1.08,1.6,13121197,13737381,14353734,14611199,13556027,13949687,15264558,16425196,25.18,Diputación de Valladolid,Palacio de Pimentel (Valladolid)
Zamora,Castilla y León,Zamora,Zamora,49,ZA,10561.0,165564,15.68,68716344.0,8199,3.5,0.34,2.09,3477147,3261080,3369888,3490956,3204009,3673777,4146391,4359052,25.36,Diputación de Zamora,Hospital de la Encarnación (Zamora)
Zaragoza,Aragón,Zaragoza,Zaragoza,50,Z,17274.0,998443,57.8,895291170.0,146263,15.1,2.03,3.41,25061759,26485627,27492854,28475192,26504006,28473028,31964054,34285966,36.81,Diputación de Zaragoza,Palacio de la Diputación Provincial (Zaragoza)
Ávila,Castilla y León,Ávila,Ávila,5,AV,8050.0,160738,19.97,61700000.0,13085,4.9,0.33,1.59,3003333,3087954,3191993,3296499,3056383,3247657,3468682,3726678,24.08,Diputación de Ávila,Torreón de los Guzmanes[2]​ (Ávila)
