,Provincia_x,Comunidad autónoma,Capital,Ciudad más poblada*,Código postal,Código Ministerio del Interior,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),Extranjeros totales,% de extranjeros,Porcentaje población,Porcentaje superficie,PIB_2016,PIB_2017,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,TCAC 2016-23,Órgano de gobierno y administración,Sede (ciudad),actividad_2016,actividad_2017,actividad_2018,actividad_2019,actividad_2020,actividad_2021,actividad_2022,actividad_2023,empleo_2016,empleo_2017,empleo_2018,empleo_2019,empleo_2020,empleo_2021,empleo_2022,empleo_2023,paro_2016,paro_2017,paro_2018,paro_2019,paro_2020,paro_2021,paro_2022,paro_2023,Provincias,Renta_neta_media_hogar_2016,Renta_neta_media_hogar_2017,Renta_neta_media_hogar_2018,Renta_neta_media_hogar_2019,Renta_neta_media_hogar_2020,Renta_neta_media_hogar_2021,Renta_neta_media_hogar_2022,Renta_neta_media_hogar_2023,Renta_neta_media_persona_2016,Renta_neta_media_persona_2017,Renta_neta_media_persona_2018,Renta_neta_media_persona_2019,Renta_neta_media_persona_2020,Renta_neta_media_persona_2021,Renta_neta_media_persona_2022,Renta_neta_media_persona_2023,Residentes_España_2016,Residentes_España_2017,Residentes_España_2018,Residentes_España_2019,Residentes_España_2020,Residentes_España_2021,Residentes_España_2022,Residentes_España_2023,Residentes_Extranjero_2016,Residentes_Extranjero_2017,Residentes_Extranjero_2018,Residentes_Extranjero_2019,Residentes_Extranjero_2020,Residentes_Extranjero_2021,Residentes_Extranjero_2022,Residentes_Extranjero_2023,Provincia_y,Provincia,Num_empresas_2016,Num_empresas_2017,Num_empresas_2018,Num_empresas_2019,Num_empresas_2020,Num_empresas_2021,Num_empresas_2022,Num_empresas_2023,Tasa_actividad_media_2016_2023,Tasa_empleo_media_2016_2023,Tasa_paro_media_2016_2023,Renta_neta_media_persona_2016_2023,Renta_neta_media_hogar_2016_2023,Num_empresas_media_2016_2023,Residentes_España_media_2016_2023,Residentes_Extranjero_media_2016_2023
24,Jaén,Andalucía,Jaén,Jaén,23,J,13496.0,618143,45.8,317240000.0,21416,6.1,1.26,2.67,10903626,11122181,11635259,11267290,10781405,11853935,11738138,13052058,19.7,Diputación de Jaén,Palacio Provincial (Jaén),54.69,54.38,52.81,51.53,53.67,53.73,51.23,52.7,37.97,41.4,41.35,41.17,41.46,42.7,41.98,42.61,30.57,23.86,21.7,20.11,22.75,20.52,18.05,19.14,Jaén,22752.0,23408.0,2416.0,24865.0,25141.0,26808.0,27429.0,29119.0,8747.0,9044.0,9417.0,9758.0,9958.0,10689.0,11074.0,11847.0,25407.0,28333.0,33217.0,34765.0,21735.0,25010.0,32630.0,40786.0,1172.0,2043.0,3109.0,4515.0,848.0,981.0,2961.0,2221.0,Jaén,Jaén,33250.0,33842.0,34030.0,34191.0,34791.0,34754.0,35363.0,33777.0,53.0925,41.330000000000005,22.0875,10066.75,22742.25,34249.75,30235.375,2231.25
25,La Coruña,Galicia,La Coruña,La Coruña,15,C,7950.0,1135623,142.83,375000000.0,60256,12.5,2.31,1.57,25451524,26097818,27211854,27819424,25501350,27529654,31218140,33477736,31.54,Diputación de La Coruña,,55.21,54.53,54.51,54.75,53.0,53.06,52.9,53.26,47.21,47.19,48.68,49.12,46.83,47.57,47.58,48.76,14.49,13.47,10.7,10.29,11.63,10.34,10.05,8.44,"Coruña, A",2875.0,29444.0,30546.0,31785.0,3171.0,32643.0,34683.0,36978.0,11383.0,11706.0,12207.0,12764.0,12841.0,13319.0,14294.0,15319.0,52700.0,48843.0,42258.0,44370.0,17255.0,37623.0,44398.0,44098.0,30814.0,25079.0,31065.0,32658.0,2610.0,8674.0,30259.0,36210.0,La Coruña,,,,,,,,,,53.902499999999996,47.8675,11.17625,12979.125,25265.625,,41443.125,24671.125
26,La Rioja,La Rioja,Logroño,Logroño,26,LO,5045.0,326803,64.78,191500000.0,46625,10.6,0.67,1.0,8074094,8351707,8649852,8889997,8186915,8735750,9767469,10476650,29.76,No tiene[5]​,No tiene[5]​,58.8,58.92,59.31,59.19,59.41,59.62,59.38,58.1,52.39,52.14,53.2,53.34,53.26,53.34,54.32,52.46,10.9,11.51,10.3,9.89,10.36,10.53,8.52,9.71,"Rioja, La",28333.0,2907.0,30286.0,31535.0,30843.0,31884.0,33314.0,35555.0,11536.0,11914.0,1246.0,1293.0,12738.0,13215.0,13864.0,14827.0,33043.0,37853.0,36849.0,35890.0,14360.0,21049.0,26090.0,32007.0,2685.0,2300.0,2353.0,3328.0,433.0,1470.0,5055.0,4066.0,La Rioja,,,,,,,,,,59.09125,53.056250000000006,10.215,10079.125,28082.125,,29642.625,2711.25
27,Las Palmas,Canarias,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,35,GC,4066.0,1171547,288.13,485000000.0,157102,15.5,2.38,0.8,21133454,22089679,22974312,23478690,19159502,21364107,25483866,28124631,33.08,No tiene[6]​,No tiene[6]​,59.84,61.36,61.18,61.15,57.08,60.14,61.0,61.05,44.73,48.18,48.62,49.17,42.31,49.09,52.79,51.72,25.25,21.48,20.53,19.6,25.88,18.38,13.46,15.28,"Palmas, Las",27379.0,28537.0,29899.0,31168.0,30367.0,31443.0,3401.0,37032.0,9799.0,10328.0,10862.0,11336.0,11172.0,11697.0,12716.0,13806.0,9968.0,8147.0,8983.0,9394.0,7209.0,11233.0,9319.0,9616.0,15529.0,15223.0,14852.0,12671.0,5099.0,7776.0,15234.0,15302.0,Las Palmas,,,,,,,,,,60.35,48.32625,19.9825,11464.5,27403.25,,9233.625,12710.75
28,León,Castilla y León,León,León,24,LE,15581.0,448030,28.75,142305758.0,24291,6.3,0.91,3.08,9231953,9506147,9777598,10041788,9276493,10454424,11757261,12193704,32.08,Diputación de León,Palacio de los Guzmanes (León),50.56,49.32,50.5,52.14,48.51,50.49,50.48,48.83,41.11,41.96,45.12,45.37,42.66,44.26,46.23,43.9,18.69,14.93,10.66,12.99,12.07,12.34,8.42,10.09,León,26563.0,27038.0,28009.0,2906.0,29196.0,30024.0,31392.0,33378.0,1135.0,11702.0,12222.0,12755.0,12917.0,134.0,14144.0,1511.0,75790.0,85304.0,78255.0,93431.0,45455.0,93440.0,88733.0,95509.0,16444.0,24812.0,22192.0,30872.0,2217.0,5289.0,16773.0,13970.0,León,León,31427.0,31173.0,31276.0,31151.0,30838.0,30006.0,30067.0,27952.0,50.10375,43.82625,12.523750000000001,8315.0,26063.25,30486.25,81989.625,16571.125
29,Lleida,Cataluña,Lérida,Lérida,25,L,12172.0,458226,37.65,228000000.0,91408,14.4,0.93,2.41,12160547,11803319,12191707,12766171,11635303,12954308,13789781,15081546,24.02,Diputación de Lérida,Palacio de la Diputación de Lérida (Lérida),59.08,60.26,62.61,63.67,62.97,62.33,58.38,59.25,52.82,53.39,54.96,57.74,56.05,55.32,52.42,56.09,10.59,11.4,12.21,9.31,10.98,11.25,10.21,5.34,Lleida,28957.0,29856.0,31474.0,32796.0,33305.0,34308.0,3564.0,37826.0,11208.0,11624.0,12124.0,12618.0,12896.0,13334.0,13865.0,14713.0,78785.0,75258.0,79772.0,73545.0,47556.0,71759.0,85767.0,79691.0,6847.0,4633.0,5517.0,4780.0,1295.0,2984.0,6054.0,8264.0,Lleida,Lleida,33329.0,33623.0,33684.0,33299.0,33512.0,33060.0,33407.0,31595.0,61.06875,54.84875000000001,10.161250000000003,12797.75,29010.75,33188.625,74016.625,5046.75
30,Lugo,Galicia,Lugo,Lugo,27,LU,9856.0,326022,33.08,118000000.0,21142,5.8,0.66,1.95,7472883,7458900,7768980,7822876,6945138,7637441,8568467,9406547,25.88,Diputación de Lugo,,50.45,51.32,52.01,52.1,52.07,51.3,52.41,51.42,43.52,45.56,47.24,47.0,47.77,46.74,47.82,47.77,13.75,11.23,9.16,9.79,8.25,8.89,8.76,7.09,Lugo,255.0,26118.0,26977.0,28067.0,28176.0,29158.0,30709.0,32837.0,10541.0,10878.0,11335.0,11856.0,12021.0,1256.0,13362.0,14316.0,39757.0,46512.0,44844.0,42146.0,17921.0,36049.0,37979.0,33536.0,15045.0,15475.0,17718.0,24574.0,966.0,5949.0,15850.0,9329.0,Lugo,Lugo,24353.0,24549.0,24760.0,24792.0,24432.0,24059.0,24109.0,22600.0,51.635,46.6775,9.615,10695.625,25287.125,24206.75,37343.0,13113.25
31,Madrid,Comunidad de Madrid,Madrid,Madrid,28,M,8028.0,7113886,886.13,5703000000.0,1072173,23.0,14.48,1.59,214469101,224373156,233735808,243889359,221061932,239837609,267171570,295939562,37.99,No tiene[7]​,No tiene[7]​,63.18,63.32,62.94,63.4,63.33,63.02,63.15,63.19,53.96,54.62,55.68,57.06,54.76,56.61,55.99,57.1,14.6,13.75,11.54,9.99,13.53,10.18,11.33,9.64,Madrid,38297.0,38983.0,40929.0,42058.0,4183.0,43037.0,45726.0,48806.0,14104.0,14461.0,15153.0,1552.0,15579.0,16146.0,17131.0,18142.0,129435.0,135952.0,144251.0,162477.0,70333.0,137290.0,140495.0,129703.0,15128.0,10701.0,8537.0,9565.0,4995.0,7079.0,9167.0,12430.0,Madrid,Madrid,516412.0,526156.0,538917.0,540544.0,552027.0,547040.0,558607.0,503018.0,63.19125,55.722500000000004,11.82,14033.5,37752.375,535340.125,131242.0,9700.25
32,Melilla,Melilla,-,-,52,ML,13.0,87067,7255.58,,11260,4.8,0.18,0.003,1452752,1466610,1510904,1560101,1452031,1534391,1655971,1753666,20.71,,,59.85,60.72,62.03,58.08,65.54,61.88,55.22,56.3,43.46,45.77,47.23,42.51,49.93,45.47,40.78,39.65,27.38,24.62,23.85,26.81,23.83,26.51,26.15,29.57,Melilla,35748.0,36128.0,37829.0,3973.0,39868.0,41846.0,43422.0,45989.0,10176.0,10314.0,10925.0,11463.0,11665.0,12506.0,1314.0,13995.0,,,,,,,,,,,,,,,,,,Melilla,4349.0,4524.0,4667.0,5304.0,5234.0,5024.0,4856.0,4370.0,59.95250000000001,44.349999999999994,26.09,10294.75,35600.375,4791.0,,
33,Murcia,Región de Murcia,Murcia,Murcia,30,MU,11313.0,1586989,140.27,451252695.0,242578,18.2,3.23,2.24,30009138,31192490,31715345,33000651,30440306,33603543,37380806,39838741,32.76,No tiene[8]​,No tiene[8]​,59.08,59.34,59.56,59.64,58.81,59.84,59.57,59.26,48.1,49.13,50.14,50.06,49.75,51.95,51.82,52.47,18.58,17.21,15.83,16.08,15.39,13.19,13.01,11.46,Murcia,26512.0,27372.0,28531.0,29932.0,30171.0,31262.0,32743.0,34951.0,9124.0,9518.0,9948.0,10422.0,10574.0,11023.0,11599.0,12446.0,37202.0,49523.0,45009.0,50323.0,28289.0,38371.0,33747.0,29819.0,3890.0,4339.0,5848.0,6113.0,1185.0,2464.0,3236.0,1775.0,Murcia,Murcia,92008.0,93574.0,95544.0,95456.0,96764.0,95294.0,97014.0,91290.0,59.387499999999996,50.427499999999995,15.09375,10581.75,30184.25,94618.0,39035.375,3606.25
34,Málaga,Andalucía,Málaga,Málaga,29,MA,7308.0,1791183,245.17,976600000.0,320766,20.0,3.65,1.44,28513572,29891621,31204388,32530116,28516619,32619883,37226438,41235144,44.62,Diputación de Málaga,,56.12,55.74,56.78,56.54,57.43,58.66,57.22,58.36,42.09,44.18,47.38,46.5,46.34,46.93,46.13,48.79,25.0,20.73,16.56,17.75,19.32,19.98,19.39,16.4,Málaga,23736.0,24743.0,26076.0,27439.0,27084.0,28574.0,30644.0,33868.0,8854.0,9313.0,9832.0,10338.0,10261.0,10929.0,11744.0,1295.0,42045.0,50806.0,44036.0,58145.0,55088.0,80345.0,82597.0,83043.0,47672.0,75651.0,84012.0,77879.0,11687.0,31428.0,70592.0,105201.0,Málaga,Málaga,115447.0,119512.0,123109.0,126509.0,131395.0,130632.0,136170.0,132168.0,57.10625,46.042500000000004,19.391250000000003,9070.75,27770.5,126867.75,62013.125,63015.25
35,Navarra,Navarra,Pamplona,Pamplona,31,,10391.0,683854,65.81,259000000.0,84896,13.6,1.39,2.05,18911331,19698794,20235995,21070268,19160726,20821017,23204474,24975376,32.07,No tiene[9]​,No tiene[9]​,58.91,58.85,59.33,58.64,58.07,58.48,59.14,58.84,53.01,53.18,53.4,53.35,51.3,52.66,53.13,53.39,10.01,9.63,9.99,9.01,11.65,9.95,10.17,9.25,Navarra,,,,,,38267.0,4076.0,42714.0,,,,,,14718.0,15681.0,16423.0,116596.0,131267.0,108071.0,126556.0,60399.0,103720.0,132049.0,135671.0,19567.0,20226.0,8869.0,10736.0,1344.0,4987.0,14271.0,40275.0,Navarra,Navarra,43907.0,44120.0,44289.0,44224.0,44430.0,44334.0,45738.0,41152.0,58.7825,52.927499999999995,9.9575,15607.333333333334,28352.333333333332,44024.25,114291.125,15034.375
36,Ourense,Galicia,Orense,Orense,32,OR / OU,7273.0,305278,41.97,103126070.0,20924,5.4,0.62,1.44,6317422,6517804,6785155,7138919,6420384,7262638,8128954,8914517,41.11,Diputación de Orense,,48.45,47.82,47.72,47.74,47.19,48.09,47.61,49.46,39.13,41.28,41.46,41.59,42.35,43.24,42.0,44.73,19.24,13.69,13.12,12.88,10.26,10.08,11.78,9.57,Ourense,24203.0,2473.0,25642.0,2672.0,26979.0,27727.0,29073.0,3117.0,10415.0,10729.0,1123.0,11729.0,11937.0,12365.0,13043.0,14049.0,27600.0,26555.0,31734.0,29411.0,16913.0,29307.0,29001.0,28655.0,3910.0,3090.0,3563.0,4411.0,1201.0,2532.0,4236.0,5056.0,Ourense,Ourense,23061.0,23140.0,23291.0,23166.0,22682.0,22322.0,22373.0,20839.0,48.01,41.972500000000004,12.5775,10673.75,17735.75,22609.25,27397.0,3499.875
37,Palencia,Castilla y León,Palencia,Palencia,34,P,8052.0,158702,19.71,92868777.0,9356,3.8,0.32,1.59,4171878,4070286,4375118,4417915,4042436,4326851,4713440,5047540,20.99,Diputación de Palencia,Palacio de la Diputación de Palencia (Palencia),54.0,54.89,52.59,52.8,54.56,52.83,54.79,55.44,46.51,47.72,44.7,47.87,49.3,47.43,50.01,51.43,13.86,13.07,15.0,9.35,9.64,10.21,8.72,7.23,Palencia,27629.0,28036.0,28971.0,3001.0,30176.0,31008.0,32105.0,34037.0,11752.0,12024.0,12525.0,1301.0,13153.0,13624.0,14251.0,15147.0,31032.0,34191.0,35116.0,34996.0,21500.0,31654.0,41208.0,40533.0,3135.0,3608.0,4078.0,3770.0,1723.0,2174.0,5193.0,10819.0,Palencia,Palencia,10131.0,10021.0,10024.0,9860.0,9813.0,9639.0,9613.0,8956.0,53.987500000000004,48.12125,10.885,11722.125,26870.375,9757.125,33778.75,4312.5
38,Pontevedra,Galicia,Pontevedra,Vigo,36,PO,4495.0,947818,210.86,120591629.0,47105,10.9,1.93,0.89,19322194,20556330,20883374,21720786,20140306,21957653,23720820,25662611,32.81,Diputación de Pontevedra,Palacio de la Diputación de Pontevedra (Pontevedra),53.9,53.47,53.29,53.35,53.23,53.21,53.78,54.11,43.95,43.98,45.63,45.95,46.17,46.51,47.51,48.35,18.47,17.76,14.38,13.86,13.27,12.6,11.66,10.65,Pontevedra,27364.0,28117.0,29129.0,30315.0,30475.0,31541.0,3323.0,35506.0,10353.0,10726.0,1122.0,11726.0,11881.0,12425.0,1317.0,14137.0,33327.0,37251.0,37163.0,39890.0,19618.0,37004.0,39133.0,33583.0,10232.0,13712.0,10938.0,9916.0,660.0,2795.0,11365.0,10468.0,Pontevedra,Pontevedra,67968.0,68831.0,69437.0,69698.0,69100.0,68043.0,68887.0,65088.0,53.542500000000004,46.00625,14.081249999999999,9210.875,26971.25,68381.5,34621.125,8760.75
39,Salamanca,Castilla y León,Salamanca,Salamanca,37,SA,12350.0,328446,26.59,181471677.0,20516,5.4,0.67,2.44,6511439,6692406,6894146,7149679,6583497,7386843,8647606,9604292,47.5,Diputación de Salamanca,Palacio de La Salina (Salamanca),51.38,53.58,52.78,53.28,52.83,53.13,53.74,52.88,43.04,46.94,46.35,46.34,44.51,47.0,47.81,47.15,16.22,12.39,12.18,13.02,15.75,11.53,11.04,10.83,Salamanca,25481.0,26127.0,26989.0,2805.0,2813.0,29176.0,30435.0,32411.0,10926.0,11278.0,11762.0,1224.0,12355.0,1292.0,1361.0,14583.0,79540.0,76870.0,92118.0,85129.0,36843.0,59390.0,73798.0,69041.0,5746.0,5319.0,7759.0,6102.0,2288.0,3007.0,7217.0,8279.0,Salamanca,Salamanca,22259.0,22347.0,22373.0,22451.0,22380.0,21915.0,21952.0,20635.0,52.95,46.14249999999999,12.87,8097.625,22029.625,22039.0,71591.125,5714.625
40,Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,38,TF,3381.0,1087319,321.6,313500000.0,161983,15.8,2.21,0.67,19846216,20946160,21634954,22288142,18427897,20043168,23424330,25865458,30.33,No tiene[10]​,No tiene[10]​,62.1,60.44,60.74,60.12,57.79,58.87,57.07,60.02,46.86,46.76,48.94,49.35,43.62,47.0,47.66,49.87,24.54,22.64,19.42,17.9,24.53,20.17,16.48,16.91,Santa Cruz de Tenerife,25462.0,26492.0,27865.0,29388.0,28792.0,29849.0,32485.0,35654.0,9238.0,9738.0,10233.0,1077.0,10679.0,11198.0,12237.0,13366.0,20153.0,23619.0,20958.0,20976.0,16544.0,24471.0,31968.0,28367.0,39238.0,41131.0,38089.0,37858.0,14261.0,18456.0,30995.0,32023.0,Santa Cruz de Tenerife,Santa Cruz de Tenerife,65296.0,68025.0,70373.0,73351.0,73970.0,71795.0,73950.0,68374.0,59.64375,47.50749999999999,20.323749999999997,9720.75,29498.375,70641.75,23382.0,31506.375
41,Segovia,Castilla y León,Segovia,Segovia,40,SG,6921.0,158251,22.87,,21309,5.9,0.32,1.37,3377877,3260124,3377956,3482508,3163709,3646707,4049897,4408019,30.5,Diputación de Segovia,,61.12,58.06,56.77,62.29,59.95,56.62,56.53,58.45,53.4,50.74,51.5,55.37,55.02,51.44,52.51,53.66,12.63,12.6,9.28,11.11,8.21,9.14,7.12,8.19,Segovia,27328.0,28014.0,29158.0,30477.0,30787.0,32028.0,33362.0,35688.0,11025.0,11378.0,11922.0,12482.0,12722.0,13324.0,13956.0,14949.0,118574.0,117420.0,119675.0,116903.0,49276.0,69179.0,114060.0,115152.0,4836.0,4119.0,3812.0,4014.0,1429.0,2279.0,5846.0,6083.0,Segovia,Segovia,10806.0,10738.0,10793.0,10818.0,10825.0,10756.0,10850.0,10416.0,58.72375,52.955,9.785,12719.75,30855.25,10750.25,102529.875,4052.25
42,Sevilla,Andalucía,Sevilla,Sevilla,41,SE,14036.0,1977664,140.9,1158000000.0,94994,14.4,4.03,2.77,36674889,38290656,39602392,40899272,37457375,41574995,45485662,48846749,33.19,Diputación de Sevilla,,58.78,58.34,59.39,59.0,57.53,58.43,57.86,58.09,42.89,45.26,46.95,46.77,44.63,46.75,48.58,48.91,27.03,22.42,20.94,20.74,22.44,19.98,16.03,15.79,Sevilla,2567.0,26334.0,27535.0,28874.0,28912.0,30254.0,31899.0,34269.0,9272.0,9584.0,10083.0,10604.0,10717.0,11292.0,12013.0,12964.0,16141.0,18992.0,21941.0,25700.0,13057.0,20006.0,30210.0,28795.0,3938.0,4134.0,7310.0,6636.0,853.0,2940.0,5291.0,4634.0,Sevilla,Sevilla,113653.0,115932.0,117385.0,119510.0,121928.0,122491.0,125257.0,118320.0,58.427499999999995,46.3425,20.671249999999997,10816.125,26330.5,119309.5,21855.25,4467.0
43,Soria,Castilla y León,Soria,Soria,42,SO,10306.0,90183,8.75,79900000.0,10936,4.3,0.18,2.04,2163618,2209607,2492230,2530167,2291715,2555836,2709532,2825443,30.59,Diputación de Soria,,57.67,61.35,56.63,58.77,56.88,58.01,57.69,59.69,50.61,55.5,54.17,54.52,52.52,53.53,53.1,56.63,12.25,9.55,4.35,7.23,7.67,7.73,7.96,5.14,Soria,28394.0,29219.0,30202.0,31235.0,32372.0,33138.0,3383.0,35904.0,11961.0,12377.0,12907.0,13353.0,13889.0,14385.0,14721.0,15626.0,74441.0,76758.0,81241.0,78623.0,33275.0,52492.0,65786.0,69520.0,1290.0,1931.0,2773.0,2301.0,260.0,490.0,1786.0,2289.0,Soria,Soria,5790.0,5741.0,5689.0,5631.0,5688.0,5670.0,5690.0,5473.0,58.33625,53.822500000000005,7.735,13652.375,27980.875,5671.5,66517.0,1640.0
44,Tarragona,Cataluña,Tarragona,Tarragona,43,T,6303.0,875530,138.91,187000000.0,155717,15.4,1.78,1.25,23056357,24106231,24294389,24779819,21581103,24600611,27455651,29471710,27.82,Diputación de Tarragona,,58.07,60.08,59.14,58.6,59.19,56.57,57.34,58.6,47.96,50.51,50.04,51.59,48.85,49.18,51.53,49.88,17.41,15.92,15.39,11.96,17.47,13.08,10.14,14.88,Tarragona,29022.0,29703.0,30952.0,32054.0,31975.0,33304.0,34872.0,37029.0,11119.0,11506.0,12011.0,12432.0,12491.0,13086.0,13673.0,14559.0,35821.0,41313.0,38634.0,45005.0,26997.0,30183.0,37483.0,36280.0,7079.0,9040.0,7722.0,7017.0,1832.0,2022.0,4353.0,6799.0,Tarragona,Tarragona,51887.0,52544.0,52921.0,53308.0,54217.0,53764.0,54887.0,52172.0,58.448750000000004,49.942499999999995,14.53125,12609.625,32363.875,53212.5,36464.5,5733.0
45,Teruel,Aragón,Teruel,Teruel,44,TE,14810.0,136091,9.19,59549000.0,17169,5.0,0.28,2.93,3256277,3222753,3381320,3422528,3120527,3529024,4072915,4324273,32.8,Diputación de Teruel,,56.19,55.0,56.65,57.93,55.83,56.64,55.01,58.05,49.29,48.86,51.43,52.7,50.67,52.64,49.68,52.6,12.27,11.16,9.23,9.04,9.25,7.08,9.68,9.39,Teruel,27545.0,28105.0,29278.0,30351.0,30672.0,31658.0,32889.0,34725.0,11126.0,11432.0,11991.0,12461.0,12656.0,13134.0,13736.0,14573.0,41246.0,42954.0,46592.0,50146.0,27286.0,50065.0,69793.0,80793.0,1948.0,1931.0,2164.0,2568.0,841.0,1966.0,3024.0,3724.0,Teruel,Teruel,9274.0,9295.0,9345.0,9319.0,9281.0,9039.0,9138.0,8612.0,56.4125,50.98375000000001,9.6375,12638.625,30652.875,9162.875,51109.375,2270.75
46,Toledo,Castilla-La Mancha,Toledo,Toledo,45,TO,15370.0,755081,49.13,114000000.0,90060,13.7,1.54,3.04,12179643,12558737,13119285,13514472,12582448,14009858,15827632,17074065,40.19,Diputación de Toledo,Edificio de la Diputación de Toledo (Toledo),60.94,61.09,59.26,59.68,61.02,62.85,60.72,57.98,46.66,48.67,48.89,49.85,48.9,54.13,51.16,51.09,23.44,20.33,17.5,16.47,19.85,13.87,15.75,11.89,Toledo,24502.0,25374.0,26489.0,27705.0,27906.0,2899.0,30626.0,32711.0,9085.0,9512.0,9955.0,10413.0,10533.0,10998.0,11614.0,12422.0,49300.0,55480.0,65845.0,78564.0,25557.0,46219.0,79369.0,87585.0,1806.0,3003.0,4301.0,3053.0,344.0,514.0,2399.0,4377.0,Toledo,Toledo,42240.0,42878.0,43289.0,43961.0,44738.0,44524.0,45231.0,43290.0,60.44250000000001,49.91875,17.387500000000003,10566.5,24776.5,43768.875,60989.875,2474.625
47,Valencia,Comunidad Valenciana,Valencia,Valencia,46,V,10763.0,2763996,256.5,1042800000.0,388076,20.8,5.63,2.14,56083303,57737744,60600750,62645457,57222556,62141233,68288134,75521155,34.66,Diputación de Valencia,Palacio de la Baylía (Valencia),60.65,60.25,59.14,57.73,57.89,58.76,59.79,61.13,48.37,50.36,51.35,50.27,49.41,51.63,52.48,53.65,20.24,16.43,13.17,12.93,14.65,12.14,12.22,12.23,Valencia/València,27426.0,28274.0,2971.0,31017.0,31208.0,32317.0,34198.0,36532.0,10641.0,11041.0,11634.0,12145.0,12333.0,12823.0,13548.0,14435.0,60906.0,64774.0,76510.0,72936.0,31811.0,42281.0,40301.0,44838.0,3229.0,8132.0,8169.0,6863.0,1709.0,3080.0,4831.0,6355.0,Valencia,,,,,,,,,,59.417500000000004,50.94,14.25125,12325.0,27992.875,,54294.625,5296.0
48,Valladolid,Castilla y León,Valladolid,Valladolid,47,VA,8110.0,528644,65.18,404000000.0,36139,8.4,1.08,1.6,13121197,13737381,14353734,14611199,13556027,13949687,15264558,16425196,25.18,Diputación de Valladolid,Palacio de Pimentel (Valladolid),57.0,56.41,58.2,58.12,56.75,53.24,54.25,55.01,49.04,48.34,52.24,52.67,50.31,48.68,50.06,50.01,13.96,14.32,10.25,9.37,11.35,8.56,7.71,9.1,Valladolid,29735.0,30288.0,31296.0,32247.0,32397.0,33348.0,34708.0,36785.0,1205.0,12396.0,12905.0,13344.0,1349.0,13987.0,14658.0,1559.0,34920.0,44870.0,47742.0,45209.0,17012.0,29462.0,40794.0,40162.0,4059.0,4449.0,5415.0,5792.0,1169.0,2521.0,3443.0,4073.0,Valladolid,Valladolid,33587.0,33967.0,33998.0,33934.0,33456.0,32732.0,32948.0,31035.0,56.1225,50.16875,10.577499999999999,8925.375,32600.5,33207.125,37521.375,3865.125
49,Zamora,Castilla y León,Zamora,Zamora,49,ZA,10561.0,165564,15.68,68716344.0,8199,3.5,0.34,2.09,3477147,3261080,3369888,3490956,3204009,3673777,4146391,4359052,25.36,Diputación de Zamora,Hospital de la Encarnación (Zamora),53.01,52.9,50.29,50.09,50.82,50.53,49.97,52.36,44.17,44.07,42.97,42.61,44.99,45.86,43.13,44.21,16.67,16.7,14.57,14.94,11.47,9.25,13.69,15.58,Zamora,23106.0,23602.0,24524.0,25593.0,25855.0,26846.0,27928.0,29891.0,10102.0,10431.0,10971.0,1152.0,11737.0,12292.0,12913.0,13897.0,53408.0,56255.0,61152.0,69811.0,26401.0,46258.0,62280.0,56645.0,2841.0,3667.0,5138.0,3829.0,1422.0,1766.0,4944.0,3810.0,Zamora,Zamora,11701.0,11643.0,11632.0,11548.0,11408.0,11130.0,11120.0,10413.0,51.24625,44.00125,14.10875,10436.875,25918.125,11324.375,54026.25,3427.125
50,Zaragoza,Aragón,Zaragoza,Zaragoza,50,Z,17274.0,998443,57.8,895291170.0,146263,15.1,2.03,3.41,25061759,26485627,27492854,28475192,26504006,28473028,31964054,34285966,36.81,Diputación de Zaragoza,Palacio de la Diputación Provincial (Zaragoza),59.87,59.01,59.8,59.36,59.01,59.11,59.29,59.52,51.52,51.85,52.85,53.34,51.38,53.27,53.56,55.19,13.95,12.14,11.61,10.13,12.92,9.88,9.67,7.28,Zaragoza,30586.0,31268.0,32328.0,33505.0,33654.0,34492.0,36098.0,3823.0,12008.0,12592.0,13063.0,13516.0,13637.0,14087.0,1475.0,1565.0,31159.0,31727.0,31405.0,36777.0,18910.0,33336.0,39330.0,44982.0,3681.0,4532.0,3778.0,3176.0,858.0,1887.0,3741.0,4720.0,Zaragoza,Zaragoza,64655.0,65144.0,65645.0,65336.0,64860.0,63411.0,63850.0,59695.0,59.37125,52.87,10.947500000000002,10242.875,29469.25,64074.5,33453.25,3296.625
51,Ávila,Castilla y León,Ávila,Ávila,5,AV,8050.0,160738,19.97,61700000.0,13085,4.9,0.33,1.59,3003333,3087954,3191993,3296499,3056383,3247657,3468682,3726678,24.08,Diputación de Ávila,Torreón de los Guzmanes[2]​ (Ávila),55.87,53.32,52.82,54.7,55.63,53.48,54.34,52.02,46.28,43.54,45.67,47.27,46.69,45.1,48.15,46.15,17.16,18.34,13.53,13.57,16.06,15.66,11.39,11.27,Ávila,22877.0,23596.0,24593.0,2553.0,26065.0,27023.0,28227.0,30159.0,9925.0,10291.0,10822.0,11322.0,11577.0,12123.0,12684.0,13602.0,110725.0,121038.0,143952.0,128019.0,56252.0,89554.0,123678.0,123801.0,3406.0,2934.0,4465.0,5648.0,537.0,1271.0,3213.0,4112.0,Ávila,Ávila,10080.0,10178.0,10170.0,10157.0,10198.0,10045.0,10099.0,9670.0,54.022499999999994,46.106249999999996,14.622499999999999,11543.25,23136.625,10074.625,112127.375,3198.25
